epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4171,1.55944,2.8458,1.08455,0.6073,0.78314,0.64353,0.37388,1.39309,0.89678,0.96348,0.000474945,0.000474945,0.000474945
2,102.577,1.35068,0.98151,0.96765,0.78438,0.7771,0.83575,0.48057,1.32261,0.77662,0.96445,0.00094186,0.00094186,0.00094186
3,150.856,1.33168,0.91741,0.96155,0.66331,0.81607,0.74626,0.42406,1.33552,0.84647,0.95695,0.00139934,0.00139934,0.00139934
4,199.174,1.33749,0.86091,0.96825,0.88791,0.86111,0.89061,0.53019,1.25199,0.68981,0.94565,0.00138656,0.00138656,0.00138656
5,247.769,1.27083,0.74238,0.95367,0.90206,0.87262,0.90513,0.53825,1.25502,0.65686,0.94495,0.00137241,0.00137241,0.00137241
6,296.05,1.22816,0.72046,0.94057,0.88941,0.8771,0.89999,0.53424,1.23446,0.64177,0.93453,0.00135826,0.00135826,0.00135826
7,343.975,1.19065,0.69064,0.93757,0.89483,0.83481,0.89559,0.54543,1.21181,0.62941,0.92718,0.00134412,0.00134412,0.00134412
8,392.616,1.17362,0.66081,0.92703,0.92792,0.90676,0.93293,0.5693,1.205,0.56067,0.93392,0.00132997,0.00132997,0.00132997
9,440.451,1.19415,0.64628,0.92861,0.93414,0.9037,0.93042,0.57541,1.18229,0.54494,0.93157,0.00131582,0.00131582,0.00131582
10,489.198,1.14559,0.62939,0.9306,0.93419,0.90846,0.94166,0.58088,1.15601,0.57079,0.91746,0.00130168,0.00130168,0.00130168
11,536.417,1.16498,0.64372,0.93427,0.90077,0.89284,0.92156,0.567,1.24517,0.57554,0.93853,0.00128753,0.00128753,0.00128753
12,583.434,1.13741,0.60679,0.91324,0.93744,0.92134,0.93334,0.57183,1.15324,0.52955,0.91491,0.00127338,0.00127338,0.00127338
13,631.282,1.15106,0.61348,0.92377,0.94027,0.91121,0.94181,0.59597,1.15425,0.53959,0.9222,0.00125923,0.00125923,0.00125923
14,681.003,1.10833,0.5801,0.90112,0.92712,0.91492,0.92903,0.56825,1.17568,0.53825,0.91689,0.00124509,0.00124509,0.00124509
15,729.852,1.12818,0.59229,0.90912,0.93805,0.90902,0.93714,0.59964,1.14431,0.52179,0.91845,0.00123094,0.00123094,0.00123094
16,778.357,1.0856,0.57352,0.91375,0.91729,0.90807,0.92969,0.60102,1.11921,0.53991,0.91283,0.00121679,0.00121679,0.00121679
17,826.283,1.11279,0.57726,0.91909,0.93676,0.9085,0.94199,0.60361,1.16094,0.51473,0.91825,0.00120265,0.00120265,0.00120265
18,873.444,1.11723,0.5935,0.9124,0.94655,0.92138,0.9521,0.62175,1.11658,0.51485,0.91209,0.0011885,0.0011885,0.0011885
19,921.407,1.09809,0.57631,0.91171,0.92993,0.91503,0.93516,0.60756,1.09707,0.50751,0.9061,0.00117435,0.00117435,0.00117435
20,970.336,1.04761,0.53783,0.90242,0.93512,0.91377,0.93828,0.6093,1.12044,0.51302,0.91062,0.00116021,0.00116021,0.00116021
21,1018.86,1.03369,0.52196,0.8992,0.96068,0.92059,0.95356,0.6116,1.11499,0.50077,0.90609,0.00114606,0.00114606,0.00114606
22,1066.24,1.03794,0.53067,0.89637,0.94662,0.91693,0.94539,0.61712,1.10421,0.49216,0.90689,0.00113191,0.00113191,0.00113191
23,1112.55,1.0491,0.54656,0.90191,0.94235,0.92198,0.95705,0.62061,1.11067,0.49619,0.91222,0.00111776,0.00111776,0.00111776
24,1160.91,1.04211,0.54203,0.90612,0.93898,0.92593,0.95079,0.62368,1.10835,0.49508,0.9083,0.00110362,0.00110362,0.00110362
25,1208.01,1.02605,0.52117,0.89066,0.93341,0.91456,0.94341,0.6104,1.10117,0.50467,0.90622,0.00108947,0.00108947,0.00108947
26,1256.57,1.04017,0.5255,0.9048,0.93175,0.91531,0.94492,0.63001,1.08519,0.48102,0.90702,0.00107532,0.00107532,0.00107532
27,1305.44,1.04325,0.53939,0.901,0.93827,0.92299,0.94654,0.61345,1.11604,0.50018,0.9177,0.00106118,0.00106118,0.00106118
28,1352.9,1.06122,0.54445,0.90549,0.93462,0.92175,0.94441,0.62655,1.09971,0.48439,0.90774,0.00104703,0.00104703,0.00104703
