epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7474,0.84658,0.41033,0.85442,0.94691,0.93512,0.956,0.66871,1.05482,0.46066,0.89648,0.000474945,0.000474945,0.000474945
2,102.173,0.8962,0.44604,0.85652,0.95102,0.94807,0.96365,0.66093,1.06245,0.46906,0.89287,0.000932443,0.000932443,0.000932443
3,150.562,0.94687,0.48674,0.86908,0.94657,0.92837,0.95751,0.64997,1.0836,0.51884,0.88976,0.00137108,0.00137108,0.00137108
4,197.234,0.97776,0.50388,0.87459,0.93766,0.92137,0.9507,0.64275,1.06551,0.48728,0.89054,0.00134412,0.00134412,0.00134412
5,244.443,0.95495,0.49497,0.87039,0.94421,0.92713,0.95702,0.65491,1.07389,0.48575,0.89818,0.00131582,0.00131582,0.00131582
6,291.565,0.94936,0.48594,0.8654,0.9334,0.93838,0.95582,0.65442,1.04622,0.47857,0.88813,0.00128753,0.00128753,0.00128753
7,339.722,0.93302,0.48075,0.86852,0.93624,0.91509,0.9448,0.63978,1.07906,0.50495,0.89811,0.00125923,0.00125923,0.00125923
8,388.159,0.93458,0.47891,0.86541,0.94527,0.92511,0.95708,0.65897,1.07314,0.48611,0.89649,0.00123094,0.00123094,0.00123094
9,437.342,0.96228,0.48911,0.87059,0.93543,0.92617,0.95491,0.65124,1.05995,0.4889,0.89251,0.00120265,0.00120265,0.00120265
10,485.19,0.93131,0.46957,0.87309,0.93955,0.92676,0.95819,0.65962,1.07515,0.46536,0.89231,0.00117435,0.00117435,0.00117435
11,533.316,0.95553,0.48343,0.87638,0.95341,0.93099,0.96147,0.65922,1.06695,0.48208,0.89486,0.00114606,0.00114606,0.00114606
12,582.006,0.94778,0.4786,0.86577,0.94578,0.92007,0.95168,0.64339,1.06202,0.47367,0.89025,0.00111776,0.00111776,0.00111776
13,630.467,0.93815,0.47781,0.86928,0.94545,0.93482,0.96171,0.65782,1.06099,0.46929,0.89359,0.00108947,0.00108947,0.00108947
14,677.757,0.92971,0.45882,0.85621,0.94704,0.93018,0.95871,0.66452,1.07889,0.47353,0.89759,0.00106118,0.00106118,0.00106118
15,725.929,0.92803,0.46465,0.86028,0.95464,0.92779,0.95785,0.65101,1.07525,0.47233,0.8947,0.00103288,0.00103288,0.00103288
16,774.538,0.91857,0.46143,0.86753,0.937,0.92424,0.9508,0.64976,1.05835,0.46999,0.89119,0.00100459,0.00100459,0.00100459
17,822.326,0.94125,0.45852,0.87327,0.93733,0.93065,0.9575,0.65922,1.03483,0.47466,0.88989,0.000976293,0.000976293,0.000976293
18,869.509,0.94595,0.47052,0.86774,0.94724,0.93583,0.96069,0.66674,1.03581,0.46804,0.88715,0.000947999,0.000947999,0.000947999
19,918.19,0.91581,0.45205,0.8657,0.94829,0.94269,0.96083,0.66637,1.03297,0.45532,0.88676,0.000919704,0.000919704,0.000919704
20,966.71,0.89551,0.44482,0.85964,0.95169,0.93436,0.95976,0.67197,1.03055,0.46433,0.88482,0.00089141,0.00089141,0.00089141
21,1015.62,0.89501,0.44099,0.85929,0.93712,0.94239,0.95938,0.65988,1.03925,0.46081,0.88583,0.000863116,0.000863116,0.000863116
22,1062.98,0.87308,0.43403,0.85398,0.95184,0.92899,0.95846,0.66875,1.05099,0.46479,0.89246,0.000834822,0.000834822,0.000834822
23,1111.49,0.8917,0.43765,0.85977,0.95082,0.9366,0.96195,0.66454,1.06633,0.45724,0.89164,0.000806528,0.000806528,0.000806528
24,1159.43,0.89745,0.44484,0.8628,0.95458,0.93659,0.9636,0.67387,1.04038,0.4652,0.88821,0.000778233,0.000778233,0.000778233
25,1208.84,0.8673,0.43128,0.84912,0.95632,0.93656,0.96174,0.6688,1.03188,0.45401,0.88605,0.000749939,0.000749939,0.000749939
26,1257.14,0.88018,0.43415,0.85845,0.94981,0.93156,0.95724,0.66372,1.02509,0.44831,0.8864,0.000721645,0.000721645,0.000721645
27,1305.76,0.87934,0.43294,0.85894,0.94448,0.94105,0.96483,0.67612,1.03622,0.45862,0.88728,0.000693351,0.000693351,0.000693351
28,1353.44,0.89839,0.44491,0.86106,0.94168,0.9404,0.95912,0.66174,1.03036,0.45143,0.88771,0.000665057,0.000665057,0.000665057
29,1400.93,0.86924,0.42784,0.85137,0.94841,0.93214,0.96035,0.673,1.03627,0.44585,0.89259,0.000636762,0.000636762,0.000636762
30,1449.94,0.90369,0.43678,0.86576,0.94896,0.93817,0.96521,0.67394,1.03236,0.45055,0.88873,0.000608468,0.000608468,0.000608468
31,1498.9,0.85159,0.41618,0.84974,0.9463,0.93696,0.96259,0.67344,1.03973,0.44326,0.89317,0.000580174,0.000580174,0.000580174
32,1549.51,0.86978,0.41424,0.85053,0.94819,0.93024,0.96179,0.67513,1.03744,0.43982,0.88906,0.00055188,0.00055188,0.00055188
33,1597.61,0.8439,0.40708,0.84815,0.94869,0.94645,0.96477,0.66967,1.03434,0.43935,0.88688,0.000523586,0.000523586,0.000523586
34,1646.8,0.84343,0.41153,0.85358,0.94771,0.94673,0.96681,0.68351,1.03945,0.44294,0.88932,0.000495291,0.000495291,0.000495291
35,1694.75,0.84336,0.40734,0.84949,0.95553,0.93487,0.96553,0.68934,1.02424,0.43594,0.89003,0.000466997,0.000466997,0.000466997
36,1742.63,0.81857,0.39662,0.84838,0.95859,0.9333,0.9657,0.68491,1.04262,0.44478,0.89408,0.000438703,0.000438703,0.000438703
37,1790.35,0.82039,0.3995,0.85171,0.95748,0.93844,0.96722,0.68955,1.02897,0.4477,0.88666,0.000410409,0.000410409,0.000410409
38,1840.15,0.82124,0.39674,0.84642,0.95376,0.93871,0.96678,0.68254,1.02279,0.44026,0.89116,0.000382115,0.000382115,0.000382115
39,1889.91,0.82233,0.39818,0.84579,0.95725,0.94457,0.9678,0.67953,1.03654,0.44018,0.89033,0.00035382,0.00035382,0.00035382
40,1938.33,0.8367,0.39862,0.84878,0.95665,0.94058,0.96597,0.68454,1.02249,0.43946,0.889,0.000325526,0.000325526,0.000325526
41,1988.15,0.81055,0.38383,0.84541,0.95457,0.94394,0.96714,0.69082,1.02604,0.43622,0.88896,0.000297232,0.000297232,0.000297232
42,2037.23,0.82085,0.38914,0.85071,0.95472,0.9388,0.96646,0.68925,1.00855,0.44027,0.88144,0.000268938,0.000268938,0.000268938
43,2085.57,0.81038,0.38044,0.84559,0.95362,0.93946,0.9665,0.68895,1.01963,0.43674,0.88739,0.000240644,0.000240644,0.000240644
44,2134.11,0.8095,0.38089,0.84267,0.95766,0.94145,0.96701,0.68736,1.0134,0.4272,0.88518,0.000212349,0.000212349,0.000212349
45,2181.31,0.7893,0.37014,0.84143,0.95659,0.93713,0.96642,0.69084,1.01674,0.43521,0.88494,0.000184055,0.000184055,0.000184055
46,2230.35,0.78434,0.37099,0.83824,0.95689,0.93884,0.96811,0.69427,1.00792,0.43318,0.88472,0.000155761,0.000155761,0.000155761
47,2279.3,0.79364,0.36719,0.84154,0.95721,0.94483,0.96856,0.69258,1.00649,0.42607,0.88536,0.000127467,0.000127467,0.000127467
48,2327.09,0.79658,0.36928,0.84599,0.95526,0.94173,0.9655,0.69464,1.00477,0.42206,0.88702,9.91726e-05,9.91726e-05,9.91726e-05
49,2377.57,0.77979,0.36456,0.84262,0.9541,0.93914,0.9655,0.6949,1.00756,0.43007,0.88567,7.08784e-05,7.08784e-05,7.08784e-05
50,2426.64,0.77343,0.36579,0.84232,0.9559,0.94142,0.96796,0.69727,0.99974,0.42524,0.88359,4.25842e-05,4.25842e-05,4.25842e-05
